Work ID,Title,Credit(Different PN),First published,First published in,evaluation,review
41966,GOD'S MARBLE,Original story (Koichi Konoha) [Illustrations: Junya Sato],Year 2005,Morning New Magnum Special Edition,0,NULL
16156,Cafe Bohemia One-shot Cafe Bohemia; Cafe Bohemia;; Cafe Bohemia Cafe Bohemia,(Koichi Konoha),1997,Morning,0,NULL
16155,Kiriko;;;;;Kiriko;Kiriko Kiriko Kiriko,(Koichi Konoha),NULL,NULL,Five,1
64026,Clio's Man Series End Clio's Man; Clio's Man;; Clio's Man Clio's Man Clio's Man,(Koichi Konoha),2001,evening,0,NULL
63035,JAGUAJAGUA; JAGUA;; JAGUA JAGUA JAGUA,(Koichi Konoha),NULL,NULL,0,NULL
63036,DESIGNED DESIGNED;; DESIGNED DESIGNED,(Koichi Konoha),NULL,NULL,0,NULL
27045,Fruit;;;;;Fruits;Fruits Fruits Fruits,(Koichi Konoha),2002,Big Comics Spirits Special Edition IKKI,0,NULL
24694,Mario Gun serialization ended;;;;;Mario Gun;Mario Gun Mario Gun Mario Gun,(Koichi Konoha),2003,Big Comic Spirits,0,NULL
16158,Ruby the kid;;;;;ruby the kid;ruby the kid;ruby the kid ruby ​​the kid ruby ​​the kid,(Koichi Konoha),NULL,NULL,0,NULL
32784,Ganbare Nippon One-shot Adult rated;;;; Ganbare Nippon; Ganbare Nippon; Ganbare Nippon Ganbare Nippon,(R. Koga Isao),NULL,Magazine data unknown/unregistered,0,NULL
32785,KILLING NIGHT!One-shot adult rating;;;;KILLING NIGHT!;Killing Night;Killing Night Killing Night,(R. Koga Isao),NULL,Magazine data unknown/unregistered,0,NULL
18568,Cosplay detective serialization ended;;;;;Cosplay big;Cosplay big;Cosplay detective Cosplay big Cosplay big,(Kimoto Inaba),1997,Young King Ours,0,NULL
32783,SWEET-SOUR NIGHTOne-shotAdult rated;;;;SWEET-SOUR NIGHT;Sweet Sour Night;Sweet Sour Night Sweet Sour Night,(R. Koga Isao),NULL,Magazine data unknown/unregistered,0,NULL
32777,BEGIN WITH ……SHOUKO.One-shot adult rated;;;;BEGIN WITH ……SHOUKO.;Begin with Shouko;Begin with Shouko Begin with Shouko Begin with Shouko,(R. Koga Isao),NULL,Magazine data unknown/unregistered,0,NULL
32779,Peaceful-Star and dangerous guardianOne-shotAdult rated;Peaceful-Star;and dangerous guardian;And Denjarasu Guardian;Peaceful Star;And Dangerous Guardian;Peaceful Star Peaceful Star Peaceful Star And Dangerous Guardian And Denjarasu Guardian,(R. Koga Isao),NULL,Magazine data unknown/unregistered,0,NULL
33188,Final Ties serialization endedFinal Ties; Final Ties;;Final Ties Final Ties Final Ties,(Kimoto Inaba),1996,Young King Ours,0,NULL
32781,"Fuun!! Scandal Shot Special ""Check"" Manga ☆Hey you, don't get too excited about ""checking""☆One-shot, adult rated;;;Fuun Scandal Shot;Fuun Scandal Shot;Special ""Check"" Manga ☆Hey you, don't get too excited about ""checking""☆;Fuun!! Scandal Shot Fuun Scandal Shot Fuun Scandal Shot",(R. Koga Isao),NULL,Magazine data unknown/unregistered,0,NULL
32780,POLICE STORY in CHIBAOne-shotAdult rated;;;;POLICE STORY in CHIBA;POLICE STORY in CHIBA;POLICE STORY in CHIBA POLICE STORY in CHIBA POLICE STORY in CHIBA,(R. Koga Isao),NULL,Magazine data unknown/unregistered,0,NULL
32778,Monday is NicedayOne-shotAdult rated;;;;Monday is Niceday;Monday is Niceday;Monday is Niceday Monday is Niceday Monday is Niceday Monday is Niceday,(R. Koga Isao),NULL,Magazine data unknown/unregistered,0,NULL
32782,LET'S Guard ING! One-shot adult-rated Let's Cave Being; LET'S Guard ING! Let's Cave Being Let's Cave Being,(R. Koga Isao),NULL,Magazine data unknown/unregistered,0,NULL
36618,Tsukumimi series end representative creator designation;;;;Tsukumimi;Tsukumimi Tsukumimi Tsukumimi,(R Koga),NULL,COMIC XO,0,NULL
32594,Summer fruits of summerAdult designated Summer fruits of summer,(R Koga),NULL,NULL,0,NULL
32611,Adult designated,(R Koga),NULL,NULL,0,NULL
32601,"That lie, that lie, adult rated;;;; that lie, that lie, that lie, that lie, that lie, that lie, that lie",(R Koga),NULL,NULL,0,NULL
84135,Kiyomi-chan of the apartmentAdult-only Kiyomi-chan of the apartment;Kiyomi-chan of the apartment;;Kiyomi-chan of the apartmentKiyomi-chan of the apartment,(R Koga),NULL,NULL,0,NULL
32605,Rain shelter Adult rated;;;; Rain shelter; Amayadori; Rain shelter Amayadori Amayadori,(R Koga),NULL,NULL,0,NULL
32571,Rain and Sunny Days Adults only;;;;; Rain and Sunny Days; Amenochihare; Rain and Sunny Days Amenochihare Amenochihare,(R Koga),NULL,NULL,0,NULL
32588,"Aya, I won't give up! Adults only;;;; Aya, I won't give up!; I won't give up; I won't give up, I won't give up, I won't give up",(R Koga),NULL,NULL,0,NULL
84118,Arigato no gisikiOne-shotAdult-rated Arigato no gisiki; Arigato no gishiki;;Arigato no gishiki Arigato no gishiki,(R Koga),2013,Comic Mashou,0,NULL
32657,"A certain form of love, adult rated;;;;; A certain form of love; A certain form of love; A certain form of love, A certain form of love",(R Koga),1999,COMIC COFFEE BREAK,0,NULL
32649,Suddenly Blonde Sister One-shot Adult rated;;;;;Suddenly Kinpats Sister;Suddenly Blonde Sister;Suddenly Kinpats Sister Suddenly Kinpats Sister,(R Koga),NULL,COMIC COFFEE BREAK,0,NULL
84117,Thank you together One-shot Adult rating Thank you together; Thank you together; Thank you together Thank you together,(R Koga),2013,Comic Mashou,0,NULL
32568,A dog's daily life Adult rated;;;;; A dog's daily life; A dog's daily life A dog's daily life,(R Koga),NULL,NULL,0,NULL
32569,INNOCENT MEMORY Adults only;;;;;INNOCENT MEMORY;Innocent Memory Innocent Memory Innocent Memory,(R Koga),NULL,NULL,0,NULL
32619,Adult-only for a little while;;;;; Just for a little while; Just for a little while; Just for a little while just for a little while just for a little while,(R Koga),NULL,NULL,0,NULL
32642,Little sister...One-shot adult rated;;;;; little sister; little sister; little sister... little sister little sister,(R Koga),2001,Comic Momohime,0,NULL
32620,Imouto Channel Adult rated;;;;; Imouto Channel; Imouto Channel; Imouto Channel Imouto Channel,(R Koga),NULL,NULL,0,NULL
32616,My M-brother is for adults only;;;;;My M-brother;My M-brother;My M-brother My M-brother My M-brother,(R Koga),NULL,NULL,0,NULL
32618,Sports day for adults only;;;;;Sports day;Sports day;Sports day,(R Koga),NULL,NULL,0,NULL
32638,Let's celebrate! One-shot adult rating;;;;;Let's celebrate;Let's celebrate!;Oiwaisho Oiwaisho Celebrate,(R Koga),2001,Comic Momohime,0,NULL
32593,It's no time for New Year's! Adults only;;;;; It's no time for New Year's; It's no time for New Year's!; Because New Year's Day is coming soon Because New Year's Day is coming soon,(R Koga),NULL,NULL,0,NULL
32602,How to train your younger brother (Adults only);;;;How to train your younger brother;How to train your younger brother;How to train your younger brother;How to train your younger brother;How to train your younger brother,(R Koga),NULL,NULL,0,NULL
32631,Oroshiman Adult rated;;;; Oroshiman; Oroshiman Oroshiman Oroshiman,(R Koga),NULL,NULL,0,NULL
32561,After the hot springs are hot; after the hot springs are hot; after the hot springs are hot; after the hot springs are hot; after the hot springs are hot,(R Koga),NULL,NULL,0,NULL
84133,Return of the Zashiki Warashi of the Southern IslandsAdult-rated Return of the Zashiki Warashi of the Southern Islands; Return of the Minami-shima no Zashiki Warashi;; Return of the Minami-shima no Zashiki Warashi Kaettekita Minami-shima no Zashiki Warashi Return of the Minami-shima no Zashiki Warashi,(R Koga),NULL,NULL,0,NULL
