Work ID,Title,Credit(Different PN),First published,First published in,evaluation,review
41966,GOD'S MARBLE,Original story (Koichi Konoha) [Illustrations: Junya Sato],Year 2005,Morning New Magnum Special Edition,0,
16156,Cafe Bohemia One-shot Cafe Bohemia; Cafe Bohemia;; Cafe Bohemia Cafe Bohemia,(Koichi Konoha),1997,Morning,0,
16155,Kiriko;;;;;Kiriko;Kiriko Kiriko Kiriko,(Koichi Konoha),,,Five,1
64026,Clio's Man Series End Clio's Man; Clio's Man;; Clio's Man Clio's Man Clio's Man,(Koichi Konoha),2001,evening,0,
63035,JAGUAJAGUA; JAGUA;; JAGUA JAGUA JAGUA,(Koichi Konoha),,,0,
63036,DESIGNED DESIGNED;; DESIGNED DESIGNED,(Koichi Konoha),,,0,
27045,Fruit;;;;;Fruits;Fruits Fruits Fruits,(Koichi Konoha),2002,Big Comics Spirits Special Edition IKKI,0,
24694,Mario Gun serialization ended;;;;;Mario Gun;Mario Gun Mario Gun Mario Gun,(Koichi Konoha),2003,Big Comic Spirits,0,
16158,Ruby the kid;;;;;ruby the kid;ruby the kid;ruby the kid ruby ​​the kid ruby ​​the kid,(Koichi Konoha),,,0,
32784,Ganbare Nippon One-shot Adult rated;;;; Ganbare Nippon; Ganbare Nippon; Ganbare Nippon Ganbare Nippon,(R. Koga Isao),,Magazine data unknown/unregistered,0,
32785,KILLING NIGHT!One-shot adult rating;;;;KILLING NIGHT!;Killing Night;Killing Night Killing Night,(R. Koga Isao),,Magazine data unknown/unregistered,0,
18568,Cosplay detective serialization ended;;;;;Cosplay big;Cosplay big;Cosplay detective Cosplay big Cosplay big,(Kimoto Inaba),1997,Young King Ours,0,
32783,SWEET-SOUR NIGHTOne-shotAdult rated;;;;SWEET-SOUR NIGHT;Sweet Sour Night;Sweet Sour Night Sweet Sour Night,(R. Koga Isao),,Magazine data unknown/unregistered,0,
32777,BEGIN WITH ……SHOUKO.One-shot adult rated;;;;BEGIN WITH ……SHOUKO.;Begin with Shouko;Begin with Shouko Begin with Shouko Begin with Shouko,(R. Koga Isao),,Magazine data unknown/unregistered,0,
32779,Peaceful-Star and dangerous guardianOne-shotAdult rated;Peaceful-Star;and dangerous guardian;And Denjarasu Guardian;Peaceful Star;And Dangerous Guardian;Peaceful Star Peaceful Star Peaceful Star And Dangerous Guardian And Denjarasu Guardian,(R. Koga Isao),,Magazine data unknown/unregistered,0,
