Work ID,Title,Author,Series,First Publisher,Last Updated By,Thumbnail Picture,Ratings
13768,ArbeZ ArbeZ,Kentaro Yano,,Mangaseek Editorial Department (2002-11-16 15:31:03),Kono (2015-07-20 10:10:58),,1
10717,Argyle Boy,Sato Kozue,,Mangaseek Editorial Department (2002-11-16 15:31:03),Morizaru (2020-03-08 18:25:52),,3
99348,Architecture Photo Graph,Masao Sakai,"Manga Time Kirara Forward One-shot
[January 2024]
Notes March 2024 issue (on sale January 24th)",Hyakumi (2024-01-27 17:07:21),Hyakumi (2024-01-27 17:07:21),,1
34207,ARK,Kohei Kusunoki (Camphor tree),"Ultra Jump One-shot
[June 2015]
Notes July 2015 issue",Morizaru (2015-07-09 20:01:40),daisuke (2022-07-28 13:22:06),,2
90323,Arc the Lad,Kakurai Missile,"Newly drawn Newly drawn

Notes Released in August 1997 (published by Scola)",daisuke (2023-02-01 18:44:58),daisuke (2023-02-01 18:44:58),,5
14777,Arc the Lad II: Elk of Fire - SEVENFOLD STORIES,Hideaki Nishikawa,,Mangaseek Editorial Department (2002-11-16 15:31:03),Kono (2015-07-20 10:11:10),,4
26450,Arc the Rat II,Kaoru Fujinagi,Shonen Gaga King serialization ended,Mangaseek Editorial Department (2003-05-17 02:44:14),Kono (2015-07-20 10:11:52),,1
65223,Argrecar,Yamada Kanehito,"Club Sunday One-shot
[September 2010]
Notes: Released on September 21, 2010",Morizaru (2019-03-09 17:46:30),Morizaru (2019-03-09 17:46:30),,1
21043,Arcade Gamer Fubuki,Yoshizaki Kannon,"Monthly Famitsu Wave serialization ended
[1998-2000]
Notes September 1998 issue - March 2000 issue
Famitsu Bros.",Mangaseek Editorial Department (2002-11-16 15:31:03),Morizaru (2023-01-15 23:08:43),,2
79205,Arcade Butler Kakeru,Kiyose Red Eye,"Manga Time Kirara Miracle One-shot
[December 2016]
Notes February 2017 issue (released December 16, 2016)",Hyakumi (2021-04-15 21:03:33),Hyakumi (2021-04-15 21:03:33),,5
13600,Ah! Kokekkokko,Mika Horiuchi,,Mangaseek Editorial Department (2002-11-16 15:31:03),Kono (2015-07-20 10:10:56),,3
20825,Arthur GARAGE,Tashi,"Young Magazine serialization ended
[2002-2005]
Notes: Issue 11, 2002 - Issue 45, 2005",Mangaseek Editorial Department (2003-10-20 20:54:02),Kono (2015-06-27 22:31:49),,2
53113,Arthur Bright,Shimotsuki Kairi,"Transferred to Monthly Comic Zenon
[May 2017 - February 2018]
Note: Transferred to WEB Comic Zenyon from July 2017 to April 2018
Serialization of WEB Comic Zenyon ended",Tofana Water (2017-05-26 22:15:52),daisuke (2022-11-14 19:15:12),,4
2845,Asian,Yun Takaha,,Mangaseek Editorial Department (2002-11-16 15:31:03),Kono (2015-07-08 14:50:11),,2
70430,URSH-KID,Water Stripes,"Ryu Serialization ended
[November 1984 - November 1985]
Notes January 1985 issue - January 1986 issue",Monaka (2020-04-25 13:06:50),Monaka (2020-04-25 13:06:50),,2
9011,Ursula!,Tsukushi no Makoto,,Mangaseek Editorial Department (2002-11-16 15:31:03),Kono (2015-07-20 10:09:52),,2
20438,Earth,Kozue Amano,"Shonen Gangan One-shot
[January 1999]
Notes January 1999 issue",Mangaseek Editorial Department (2002-11-16 15:31:03),Morizaru (2015-09-22 00:51:47),,2
16390,earth,Matsumoto Taiyo,,Mangaseek Editorial Department (2002-11-16 15:31:03),Kono (2015-07-20 10:11:20),,1
93022,Tear Star: Thug Lullaby,Ayumi Tachihara,"Weekly Manga TIMES serialization ended
[August 2009]
Notes: From the September 11, 2009 issue (released August 28)",Morizaru (2023-05-06 03:13:08),Morizaru (2023-05-06 03:13:08),,3
16589,"Earth, Wind & Fire","Shotaro Ishinomori
(Shotaro Ishinomori)
[Illustration]

Hisano Ikegami
[Original Story]","FM Recopal one-shot
[February 1981]
Notes: 1981 No. 5 (February 16th issue)",Mangaseek Editorial Department (2002-11-16 15:31:03),Morizaru (2016-01-22 23:26:32),,5
79158,Ah. I love you.,Meno,Doujinshi,Hyakumi (2021-04-14 17:11:55),Hyakumi (2021-04-14 17:11:55),,1
33307,Welcome to Earth Frontier,Hiroshi Aizawa,E☆2 serialization ended,Masuke (2015-06-16 22:41:46),daisuke (2021-06-26 14:29:43),,1
16577,Earthman,"Shotaro Ishinomori
(Shotaro Ishinomori)
[Illustration]
Masami Fukushima
[Original work]",,Mangaseek Editorial Department (2002-11-16 15:31:03),Kono (2015-07-20 10:11:21),,3
37420,Earthrocolossus,"Yuki Higashiura
Masterpiece","Comic Flapper ongoing series
[September 2015]
Notes: From October 2015 issue",Morizaru (2015-09-06 16:50:13),Masuke (2016-01-23 10:58:41),,4
88896,Ah!so.,Masahiro Suematsu,"Mr. Magazine serialization ended
[April 1999 - October 1999]
Notes 1999 No. 9, No. 11 - No. 21",daisuke (2023-01-02 09:56:53),daisuke (2023-01-02 09:56:53),,1
44964,The Archers Quartet,Shirakawa Ari,"Afternoon One-shot
[August 2011]
Notes: October 2011 issue supplement ""Shiki Prize Portable"" vol.23",Morizaru (2016-05-30 14:01:04),Morizaru (2016-05-30 14:01:04),,2
99028,With Ah-chan,Rem Sakakihara,"Comic Days
[August 2023]
Notes: Reprinted: Published on August 22, 2023 *All episodes",Morizaru (2024-01-13 22:09:57),Morizaru (2024-01-13 22:09:57),,3
