Person ID,Person Name,Alternate Name,Occupation,Nationality,Birth Date,Hometown,Debut,Awards,Affiliation,Hobbies,Website,Twitter,Facebook,Blog,Pixiv,Source,Initial Contributor,Last Updated By
25928,COVE,,漫画原作者,,,,,,,,,,,,,,もりざる（2023-06-23 23:14:08）,daisuke（2023-10-18 17:05:19）
11075,コーエーテクモゲームス,,,,,,,,,,https://www.gamecity.ne.jp/,http://twitter.com/koeitecmogames,https://www.facebook.com/koeitecmogamesjp,,,,もりざる（2015-07-29 22:15:01）,daisuke（2021-02-05 20:34:20）
4430,ゴーギャン,,漫画家,,,,,,,,,,,,,,まんがseek編集部（2002-11-16 15:31:03）,もりざる（2018-10-04 16:31:52）
669,コージィ城倉,森高夕次,漫画家;漫画原作者,,1963年4月24日 (61歳),長野県,1989年,"講談社漫画賞 (第37回, 一般部門)〔2013年〕 「グラゼニ」 （森高夕次として）",,,,,,,,サンデーまんが家BACKSTAGE,まんがseek編集部（2002-11-16 15:31:03）,daisuke（2021-04-24 09:07:59）
17061,ゴージャス宝田,,漫画家,,,,,,,,,,,,,,まーすけ（2017-04-15 14:42:01）,まーすけ（2017-04-15 14:42:01）
27188,KOJIRO,,漫画家,,,,,,,,,,,,,,もりざる（2023-12-07 21:43:33）,もりざる（2023-12-07 21:43:33）
10624,コースケ,,漫画家,,,,,,,,,http://twitter.com/go_kohske,,http://gokohske.o-oi.net/,,,まーすけ（2015-07-12 20:04:22）,ゲスト（2015-11-23 17:33:33）
5808,KOZO,村尾幸三,演出家;脚本家;漫画原作者;俳優,,,,,,,,,,,,,本人公式サイト,まんがseek編集部（2002-11-16 15:31:03）,まーすけ（2015-07-29 15:38:56）
14516,コータ,,漫画家,,,,,,,,,,,,,,まーすけ（2016-03-15 12:12:17）,まーすけ（2016-03-15 12:12:17）
25086,Ko-dai,,漫画家,,5月30日,,,,,,,http://twitter.com/yae_kanai0530,,,,,もりざる（2023-01-30 09:31:06）,もりざる（2023-01-30 09:31:53）
21178,GoDo,,漫画原作者,日本,,,,,,,,,,,,,まーすけ（2020-08-16 16:59:47）,daisuke（2021-02-18 13:38:28）
18521,Code:000,,,,,,,,,,,,,,,,まーすけ（2018-01-17 08:52:27）,daisuke（2021-03-10 19:36:56）
18499,C・ウールリッチ,,,,,,,,,,,,,,,,もりざる（2018-01-11 22:44:44）,もりざる（2018-01-11 22:44:44）
10863,GoHands,GoRA×GoHands,,,,,,,,,,,,,,,コースケ（2015-07-21 00:20:47）,まーすけ（2019-04-30 16:19:15）
10076,珈琲,,漫画家,日本,,,,,,,http://instagram.com/cc.ff.eee/,http://twitter.com/ccffeee,,http://caffeini.jugem.jp/,,,もりざる（2015-06-26 14:23:55）,daisuke（2021-01-16 17:47:10）
10943,珈琲,真田ジューイチ,漫画家;イラストレーター,日本,1981年12月19日 (42歳),愛知県,2005年,,,,,http://twitter.com/sanadaeleven,,,,,もりざる（2015-07-25 11:25:37）,daisuke（2021-01-16 17:47:28）
10944,コーヒー,真田ジューイチ,漫画家;イラストレーター,日本,1981年12月19日 (42歳),愛知県,2005年,,,,,http://twitter.com/sanadaeleven,,,,,もりざる（2015-07-25 11:26:15）,もりざる（2015-07-25 11:26:15）
19972,珈琲貴族,,イラストレーター;原画家;漫画家,,1981年2月,,,,,,,http://twitter.com/coffeekizoku,,http://coffeekizoku.blog77.fc2.com/,,,ゲスト（2019-01-17 07:36:08）,ゲスト（2019-01-17 07:36:08）
11660,コーヘー,,漫画家,,,,,,,,,http://twitter.com/ko___he___,,,,,まーすけ（2015-08-20 14:36:19）,まーすけ（2015-08-20 14:36:19）
27757,こーり,,漫画家,,6月21日,,,,,,,http://twitter.com/kohri621,,,,,伏見庵（2024-01-30 00:06:41）,伏見庵（2024-01-30 00:06:41）
8492,ゴールデンボンバー小野寺,小野寺浩二,漫画家,日本,1970年7月12日 (53歳),栃木県宇都宮市,1992年「有限会社 地球防衛カンパニー」,,,,http://rururudou.web.fc2.com/,http://twitter.com/onoderakoji,,,,,まんがseek編集部（2003-10-25 15:09:27）,こうの（2015-07-20 10:27:46）
15917,コーンフレーcu,石川香織,漫画家,日本,,,,"メテオ・ポラリス彗星賞 (第2回, 奨励賞)",,,,http://twitter.com/confure,,,,,もりざる（2016-10-02 04:29:13）,もりざる（2018-06-10 22:05:10）
14373,コア助,阿久津俊,漫画家,日本,,千葉県松戸市,「おとなのこ」,メンズヤング新人賞,,,http://coresuke.web.fc2.com/,http://twitter.com/CORE_SUKE,,http://coax3.blog9.fc2.com/,,,トファナ水（2016-03-03 11:47:43）,ゲスト（2021-06-09 10:20:32）
12388,Koi,,漫画家;イラストレーター,,,,2011年「ご注文はうさぎですか?」,,,,http://exofthanks.wix.com/extremity-of-thanks,,,,,,ゲスト（2015-09-20 07:41:49）,百雲母（2020-09-12 09:14:52）
9714,こいおみなと,恋緒みなと,漫画家,日本,1968年5月12日 (56歳),岐阜県岐阜市,,,,,,,,,,「講談社コミックプラス」サイト内著者プロフィール,まーすけ（2015-01-15 20:24:29）,daisuke（2020-12-19 12:53:58）
649,恋緒みなと,こいおみなと,漫画家,日本,1968年5月12日 (56歳),岐阜県岐阜市,,,,,,,,,,,まんがseek編集部（2002-11-16 15:31:03）,こうの（2015-01-15 20:25:32）
2969,小池栄治,,漫画家,,1951年,東京都,,,,,,,,,,漫画,まんがseek編集部（2002-11-16 15:31:03）,もりざる（2016-05-05 22:22:30）
13496,小池一雄,小池一夫,小説家;漫画原作者;脚本家;作詞家,,1936年5月8日,秋田県秋田市,,"小学館漫画賞 (第27回, 特別賞)〔1982年〕 「魔物語 愛しのベティ」 （小池一夫として）",日本文藝家協会会員;日本映像学会会員;東京羽田ロータリークラブ;日本シナリオ作家協会会員;日本アカデミー賞協会会員,,,http://twitter.com/koikekazuo,https://www.facebook.com/kazuo.koike.9674,http://www.koikekazuo.jp/,,,もりざる（2015-12-27 00:13:19）,もりざる（2015-12-27 00:13:19）
