Person ID,Person Name,Alternate Name,Occupation,Nationality,Birth Date,Hometown,Debut,Awards,Affiliation,Hobbies,Website,Twitter,Facebook,Blog,Pixiv,Source,Initial Contributor,Last Updated By
18638,ダーウィン西尾,,漫画家,,,,,,,,,,,,,,もりざる（2018-01-26 23:26:41）,もりざる（2018-01-26 23:26:41）
15907,だーく,,漫画家,日本,,埼玉県,,,,,http://darkside.cutegirl.jp/,http://twitter.com/darkside22423,,,,,もりざる（2016-10-02 01:20:12）,daisuke（2023-10-19 16:02:04）
7812,ダークマスター,狩撫麻礼,漫画原作者,,,,,,,,,,,,,,まんがseek編集部（2002-11-16 15:31:03）,こうの（2015-07-20 10:27:44）
5657,たーし,,,,,,,,,,,,,,,,まんがseek編集部（2002-11-16 15:31:03）,こうの（2015-07-20 10:26:13）
942,ダーティ・松本,ダーティ松本,漫画家,,,,,,,,http://www.rx.sakura.ne.jp/~dirty/,http://twitter.com/michiyo28,,http://blog.livedoor.jp/dirty90/,,,まんがseek編集部（2004-01-19 07:41:13）,もりざる（2018-07-08 16:44:27）
20554,ダーティ松本,ダーティ・松本,漫画家,,,,,,,,http://www.rx.sakura.ne.jp/~dirty/,http://twitter.com/michiyo28,,http://blog.livedoor.jp/dirty90/,,,もりざる（2019-07-29 11:04:16）,もりざる（2019-07-29 11:04:16）
6971,ダーナ,鹿島田しき,,,,,,,,,,,,,,コミックス,まんがseek編集部（2002-11-16 15:31:03）,もりざる（2020-04-28 20:34:42）
4873,ターニャ谷,,,,,,,,,,,,,,,,まんがseek編集部（2002-11-16 15:31:03）,こうの（2015-07-20 10:25:54）
28192,ダーリン・ハニー,,漫画家,,,,,,,,,,,,,,伏見庵（2024-03-09 22:50:32）,伏見庵（2024-03-09 22:50:32）
21773,たあたんちぇっく,,,,,,,,,,,,,,,,daisuke（2020-10-27 21:30:45）,daisuke（2020-10-27 21:30:45）
9381,たぁぽん,,漫画家,日本,,,,,,,,http://twitter.com/taapon_pnd,,,,,まんがseek編集部（2007-07-13 23:36:56）,daisuke（2021-02-10 15:40:46）
11397,タアモ,,漫画家,,1月26日,大阪府,2001年「てのひらをかさねて」,"講談社漫画賞 (第38回, 少女部門)〔2014年〕 「たいようのいえ」",,,,http://twitter.com/taammoo,,,,,まーすけ（2015-08-10 09:51:40）,もりざる（2023-05-27 11:11:49）
7031,大亜門,,漫画家,,1977年5月29日 (47歳),,2002年「もて塾恋愛相談」,,,,http://daiamon.main.jp,http://twitter.com/daiamon_,,https://dai-amon.hatenadiary.org/,,,まんがseek編集部（2004-09-05 02:39:55）,もりざる（2023-11-25 22:16:22）
26492,田井ノエル,,ライトノベル作家,,,,,,,,,,,,,,もりざる（2023-08-23 23:27:35）,daisuke（2023-10-25 22:28:16）
19819,ダイアナ・パーマー,,ハーレクイン作家,,,,,,,,,,,,,,もりざる（2018-10-21 23:18:36）,daisuke（2023-06-14 17:06:03）
23168,ダイアナ・マース,,ハーレクイン作家,,,,,,,,,,,,,,もりざる（2021-05-03 02:32:42）,daisuke（2022-07-07 15:07:21）
21997,大@nari,,漫画原作者,日本,4月17日,,,,,,,http://twitter.com/daiwithnani,,,,,ゲスト（2020-12-04 19:50:52）,daisuke（2021-01-18 14:25:58）
24537,大映テレビ株式会社,,,,,,,,,,http://www.daiei-tv.com/,,,,,,daisuke（2022-11-07 11:19:00）,daisuke（2022-11-07 11:19:00）
11666,大沖,,漫画家,,,広島県江田島市,,,,,http://daioki.tumblr.com/,http://twitter.com/daioki,,,,,ゲスト（2015-08-21 08:06:13）,ゲスト（2016-02-03 06:59:43）
6128,大画としゆき,,漫画家,,1983年,福島県,,,,,http://members3.jcom.home.ne.jp/taigatoshiyuki/,,,,,本,まんがseek編集部（2002-11-16 15:31:03）,ゲスト（2015-09-10 15:01:07）
