Person ID,Person Name,Alternate Name,Occupation,Nationality,Birth Date,Hometown,Debut,Awards,Affiliation,Hobbies,Website,Twitter,Facebook,Blog,Pixiv,Source,Initial Contributor,Last Updated By
10318,Ark Performance,,,,,,,,,,http://blog.goo.ne.jp/ark-performance,,,,,,もりざる（2015-07-04 21:48:45）,まーすけ（2016-08-06 13:26:03）
28287,アークライト,,,,,,,,,,https://www.arclight.co.jp/,http://twitter.com/ArclightGames,,,,,伏見庵（2024-04-24 22:32:29）,伏見庵（2024-04-24 22:32:29）
12256,アーサー・ドリィ アン,,漫画家,日本,,,,,,,,,,,,,もりざる（2015-09-12 11:28:36）,daisuke（2021-12-02 14:14:30）
14237,アージュ,,,,,,,,,,http://www.age-soft.co.jp/,http://twitter.com/age_soft,,,,,まーすけ（2016-02-27 14:03:38）,daisuke（2021-02-01 16:43:10）
21938,アーセナル,,漫画家,,,,,,,,,http://twitter.com/arsenal0107,,,,,伏見庵（2020-11-24 12:26:55）,伏見庵（2020-11-24 12:26:55）
7805,アート・スピーゲルマン,,漫画家,アメリカ,1948年,,1989年,"ピュリッツアー賞特別賞〔1992年〕, イエローキッド賞, プレイボーイ誌のエディトリアル賞〔1982年〕, グッゲンハイム賞",,,,,,,,"「マウス」(""Maus"")、「マウスⅡ」",まんがseek編集部（2003-11-14 12:53:49）,こうの（2015-11-23 12:20:50）
12801,アーネスト・トンプソン・シートン,,博物学者;作家;画家,イギリス,1860年8月14日,イギリス,,,,,http://www.etseton.com/,,,,,,まーすけ（2015-11-02 07:47:31）,ゲスト（2019-03-18 15:29:44）
20642,AhBin,,漫画家,,,,,,,,,,,,,,もりざる（2019-09-16 00:51:00）,daisuke（2021-11-11 13:39:48）
18498,E・S・ガードナー,,推理作家;弁護士,アメリカ合衆国,1889年7月17日,,,,,,,,,,,,もりざる（2018-01-11 22:24:56）,daisuke（2021-02-01 16:48:23）
23782,ro,,漫画家,日本,8月19日,,,,,,http://no-kone.kemono.cc/,http://twitter.com/kemonono,,,,,天王寺R（2021-12-29 10:28:40）,daisuke（2022-04-09 14:23:29）
12870,R言,,漫画家,,,,,,,,,http://twitter.com/tubuyaki_rgen,,,,,まーすけ（2015-11-09 09:06:10）,まーすけ（2015-11-09 09:06:10）
1,あ〜る・こが,R・古賀勲,漫画家,,4月,千葉県,,,,,http://www2.plala.or.jp/r-koga-k-inaba/,http://twitter.com/R_koga,,http://rkoga.blog.fc2.com/,,"オフィシャルサイト;「Kagekiな放課後勉強会」(""R・古賀勲""名義のコミック)",まんがseek編集部（2007-07-17 02:57:07）,こうの（2015-06-05 15:29:55）
9546,R・古賀勲,あ〜る・こが,漫画家,,4月,千葉県,,,,,http://www2.plala.or.jp/r-koga-k-inaba/,http://twitter.com/R_koga,,http://rkoga.blog.fc2.com/,,「kagekiな放課後勉強会」コミック,まーすけ（2014-10-26 20:08:52）,こうの（2015-07-20 10:28:00）
14389,R☆トンコウ,東航,漫画家,日本,,,,,,,http://rtk2000.h.fc2.com/,,,,,,トファナ水（2016-03-04 11:51:15）,トファナ水（2016-03-04 11:51:15）
24641,あああ,,漫画家,,,,,,,,,http://twitter.com/sorenaramy,,,,,もりざる（2022-12-02 21:36:45）,もりざる（2022-12-02 21:37:33）
24651,ああい幸,,漫画家,,,,,,,,,http://twitter.com/sachiaai,,,,,もりざる（2022-12-02 23:41:13）,もりざる（2022-12-02 23:43:44）
