Person ID,Person Name,Alternate Name,Occupation,Nationality,Birth Date,Hometown,Debut,Awards,Affiliation,Hobbies,Website,Twitter,Facebook,Blog,Pixiv,Source,Initial Contributor,Last Updated By
10318,Ark Performance,,,,,,,,,,,,,,,,,
28287,Arc light,,,,,,,,,,,,,,,,,
12256,Arthur Drie Ann,,manga artist,,,,,,,,,,,,,,,
14237,Focus,,,,,,,,,,,,,,,,,
21938,Arsenal,,manga artist,,,,,,,,,,,,,,,
7805,Art Spiegerman,,manga artist,,,,,,,,,,,,,,,
12801,Ernest Thompson Seaton,,Movie; writer; painter,,,,,,,,,,,,,,,
20642,Ahbin,,manga artist,,,,,,,,,,,,,,,
18498,E. S. Gardner,,Moderator; lawyer,,,,,,,,,,,,,,,
23782,reactor,,manga artist,,,,,,,,,,,,,,,
12870,R words,,manga artist,,,,,,,,,,,,,,,
1,"Ah, this",R. Isao Koga,manga artist,,,,,,,,,,,,,,,
9546,R. Isao Koga,"Ah, this",manga artist,,,,,,,,,,,,,,,
14389,R ☆ Tonko,eastbound,manga artist,,,,,,,,,,,,,,,
24641,Ah,,manga artist,,,,,,,,,,,,,,,
24651,Aiuki,,manga artist,,,,,,,,,,,,,,,
24642,"Ah, Koyu",,,,,,,,,,,,,,,,,
24652,love,,manga artist,,,,,,,,,,,,,,,
24653,love,,,,,,,,,,,,,,,,,
24655,Love,,manga artist,,,,,,,,,,,,,,,
11000,Indigo,,manga artist,,,,,,,,,,,,,,,
17004,Atsushi,,Novelist,,,,,,,,,,,,,,,
5557,History of love,Fumiro Toyazaki,Cartoon original author,,,,,,,,,,,,,,,
17379,Ai ♥ Kup,,manga artist,,,,,,,,,,,,,,,
20961,I Sigo,,manga artist,,,,,,,,,,,,,,,
4657,Indigo,Tori Mya,manga artist,,,,,,,,,,,,,,,
26517,IIS-P,,,,,,,,,,,,,,,,,
22829,Loving landing,,,,,,,,,,,,,,,,,
19981,Aiuchi,,manga artist,,,,,,,,,,,,,,,
18913,Minami Aiuchi,,Writer,,,,,,,,,,,,,,,
22877,Aoi Light,,manga artist,,,,,,,,,,,,,,,
28141,Akiga Yugiri,,Illustrator; manga artist,,,,,,,,,,,,,,,
21918,Hiroyuki duck,,Cartoonist; illustrator,,,,,,,,,,,,,,,
3284,Ayumu Aikawa,,manga artist,,,,,,,,,,,,,,,
15126,Isaki Sokawa,,manga artist,,,,,,,,,,,,,,,
14168,Aikawa Kazumi,,manga artist,,,,,,,,,,,,,,,
2,Aika Kumi,,manga artist,,,,,,,,,,,,,,,
10146,Akikawa Sakai,Moon Saki,manga artist,,,,,,,,,,,,,,,
4,Satoshi Aikawa,Nori Kenryu,manga artist,,,,,,,,,,,,,,,
7695,From Aikawa,,manga artist,,,,,,,,,,,,,,,
