Person ID,Person Name,Alternate Name,Occupation,Nationality,Birth Date,Hometown,Debut,Awards,Affiliation,Hobbies,Website,Twitter,Facebook,Blog,Pixiv,Source,Initial Contributor,Last Updated By
10427,夏達,,漫画家,,,,,,,,,,,,,,,
18451,カーツ佐藤,,ライター,,,,,,,,,,,,,,,
4875,KART Jr.,,,,,,,,,,,,,,,,,
16843,garnet,,漫画家,,,,,,,,,,,,,,,
24057,かーみら,,漫画家,,,,,,,,,,,,,,,
15518,カーラ・コールター,,ハーレクイン作家,,,,,,,,,,,,,,,
18485,カール・マイヤー,,,,,,,,,,,,,,,,,
20520,ガールズ&パンツァー劇場版製作委員会,,,,,,,,,,,,,,,,,
12124,ガールズ&パンツァー製作委員会,,,,,,,,,,,,,,,,,
5702,カールメン野口,,,,,,,,,,,,,,,,,
23091,夏庵,,漫画家,,,,,,,,,,,,,,,
413,がぁさん,,漫画家,,,,,,,,,,,,,,,
13388,kai,,漫画原作者,,,,,,,,,,,,,,,
22137,魁,,ゲームシナリオライター;小説家;作詞家,,,,,,,,,,,,,,,
2678,甲斐今日子,,漫画家,,,,,,,,,,,,,,,
5915,甲斐謙二,七瀬カイ,漫画家,,,,,,,,,,,,,,,
6126,花衣沙久羅,,小説家;漫画原作者,,,,,,,,,,,,,,,
20761,甲斐とうしろう,,漫画家,,,,,,,,,,,,,,,
17840,カイトモアキ,,漫画家,,,,,,,,,,,,,,,
9389,櫂広海,ほし優樹,漫画家;小説家,,,,,,,,,,,,,,,
21936,甲斐ひろゆき,,漫画家,,,,,,,,,,,,,,,
417,花郁悠紀子,,漫画家,,,,,,,,,,,,,,,
26738,貝遼太郎,,漫画家,,,,,,,,,,,,,,,
2677,甲斐絵恵子,,,,,,,,,,,,,,,,,
24074,雪笠,慮恩& 雪笠,漫画家,,,,,,,,,,,,,,,
26799,がい子くじん,,漫画家,,,,,,,,,,,,,,,
7824,甲斐さゆみ,,漫画家,,,,,,,,,,,,,,,
13127,海産物,,漫画家;イラストレーター,,,,,,,,,,,,,,,
414,介錯,,漫画家;イラストレーター,,,,,,,,,,,,,,,
4379,海生那智,,漫画家,,,,,,,,,,,,,,,
8546,海城一登,臣士れい,漫画家,,,,,,,,,,,,,,,
9443,カイシンシ,,漫画家,,,,,,,,,,,,,,,
9277,海瀬壮祐,,漫画家,,,,,,,,,,,,,,,
18348,開栓注意,,イラストレーター,,,,,,,,,,,,,,,
25973,廻船問屋,,漫画家,,,,,,,,,,,,,,,
3885,かいぞく・さんた,,漫画家;イラストレーター,,,,,,,,,,,,,,,
5916,改田昌直,,漫画家,,,,,,,,,,,,,,,
2679,甲斐谷忍,,漫画家,,,,,,,,,,,,,,,
22666,かいづか,,漫画家,,,,,,,,,,,,,,,
18639,貝塚貴,,漫画家,,,,,,,,,,,,,,,
415,貝塚ひろし,,漫画家,,,,,,,,,,,,,,,
24014,海翔,,小説家,,,,,,,,,,,,,,,
13928,KAITO,,漫画家,,,,,,,,,,,,,,,
16873,海道いちご,,,,,,,,,,,,,,,,,
16555,海道左近,,小説家,,,,,,,,,,,,,,,
