作品ID,タイトル,クレジット（別PN）,初出年,初出掲載誌,評価,レビュー
41966,GOD'S MARBLEGOD'S MARBLE,原作（木葉功一）[作画：佐藤純也],2005年,モーニング新マグナム増刊,0,
16156,カフェ ボヘミア読み切りカフェ ボヘミア;カフェボヘミア;;かふぇぼへみあ  カフェボヘミア かふぇぼへみあ,（木葉功一）,1997年,モーニング,0,
16155,キリコ;;;;;きりこ;キリコ  キリコ きりこ,（木葉功一）,,,5,1件
64026,クリオの男連載終了クリオの男;クリオノオトコ;;くりおのおとこ  クリオノオトコ くりおのおとこ,（木葉功一）,2001年,イブニング,0,
63035,JAGUAJAGUA;ジャギュア;;じゃぎゅあ  ジャギュア じゃぎゅあ,（木葉功一）,,,0,
63036,ディザインドディザインド;;でぃざいんど  ディザインド でぃざいんど,（木葉功一）,,,0,
27045,フルーツ;;;;;ふるーつ;フルーツ  フルーツ ふるーつ,（木葉功一）,2002年,ビッグコミックスピリッツ増刊IKKI,0,
24694,マリオガン連載終了;;;;;まりおがん;マリオガン  マリオガン まりおがん,（木葉功一）,2003年,ビッグコミックスピリッツ,0,
16158,ルビー・ザ・キッド;;;;;るびーざきっど;ルビーザキッド;ルビー・ザ・キッド  ルビーザキッド るびーざきっど,（木葉功一）,,,0,
作品ID,タイトル,クレジット（別PN）,初出年,初出掲載誌,評価,レビュー
32784,頑張れにっぽん読み切り成人指定;;;;がんばれにっぽん;ガンバレニッポン;頑張れにっぽん  ガンバレニッポン がんばれにっぽん,（R・古賀勲）,,雑誌データ不明・未登録,0,
32785,KILLING NIGHT!読み切り成人指定;;;;KILLING NIGHT!;きりんぐないと;キリングナイト  キリングナイト きりんぐないと,（R・古賀勲）,,雑誌データ不明・未登録,0,
18568,コスプレ刑事連載終了;;;;;こすぷれでか;コスプレデカ;コスプレ刑事  コスプレデカ こすぷれでか,（きもと稲葉）,1997年,ヤングキングアワーズ,0,
32783,SWEET-SOUR NIGHT読み切り成人指定;;;;SWEET-SOUR NIGHT;すいーとさわーないと;スイートサワーナイト  スイートサワーナイト すいーとさわーないと,（R・古賀勲）,,雑誌データ不明・未登録,0,
32777,BEGIN WITH ……SHOUKO.読み切り成人指定;;;;BEGIN WITH ……SHOUKO.;びぎんうぃずしょうこ;ビギンウィズショウコ  ビギンウィズショウコ びぎんうぃずしょうこ,（R・古賀勲）,,雑誌データ不明・未登録,0,
